institution;matched_instId
university of pennsylvania/school of design;21
north carolina state university (ncsu);171
harvard  university;34
new york university (nyu)- steinhardt;138
fordhamuniversity;154
new york universityew york (cuny) graduate center;137
mechanical eng department of texas a&m;228
boston university, cfa;72
binghamton university, state university of new york;292
johns hopkins universityersity;68
harvard graduate school of engineering and applied sciences;34
lsu;268
american university (sis);197
tufts universityn;123
pennsylavania state university;76
purdue-krannert;36
university of illinois, urbana - champaign;25
u of texas - austin;19
harvard gsd;34
nyu - steinhardt;138
american university university;197
mit sloan school of management, massachusetts institute of technology;13
long island university-cw post;260
new york university (nyu) - ifa;138
anderson school of management - ucla;29
northeaster;33
university of massachussetts amherst;15
rutgers state universityâ€“new brunswick;111
nc state university;171
george washingtong university;97
columbia journalism school;31
the ohio state university, columbus;92
columbia univ;31
rutgers, state univ of new jersey;111
1											1										1								suny binghamton;292
universirty of toronto;64
robert h. smith school of business - university of maryland;27
1 1 1 suny binghamton;292
georgia institute of technologystitute of technology;9
city university of new york (cuny) graduate center - brooklyn college;137
university of illionois urbana-chapagne;25
johns hopkins universuty;68
columbia tc;31
joint cmu-pitts phd program in computational biology;1
university of maryland, college parksity of maryland, college park;27
universtiy of minnesota, carlson school;62
boston university school of public health;72
university of british columbia - sauder;108
university of illinois, urbana-champaign;25
baruch cuny;137
university massachusetts-amherst;15
syracuse university maxwell school;106
purdueue - west lafayette;36
johns hopkins - sais;68
rutgers state universityã¢â€â“new brunswick;111
iowa state;115
univ of virginia;57
new york university (nyu)									1										1								suny binghamton;292
nyu tisch asia;138
jhu sais;68
mcgill universityl university;102
the pennsylvania state university - university park;76
old dominion;262
suffolk university law school;307
the university of akron;257
mcmaster;151
baruch college, cuny;137
univerdsity of southern california;23
university of south carolina-columbia;201
case western reserve university - weatherhead school of management;254
cambridge university, clare college;174
georgia institute of techonlogy;9
queens university canada;366
university of idaho;373
pennsylvania state university, university park;76
texas a&m university, college station;228
university of alabama, huntsville;318
polytechnic, nyu;138
new york university (nyu) - gallatin;138
oxford, said business school;100
umass medical school - worcester;15
washington university, st. louis (wustl);129
u washington, st. louis;129
university of north carolina (unc);80
university of indiana;219
imperial college, london;239
kellogg school of management - northwestern universityy;44
upenn - biomedical graduate studies;21
piit-cmu;1
university of pittsburgh, school of public health;66
northwestern university (evanston campus);44
university of maryland schol of medicine;27
asu;38
vanderbilt university peabody college;96
university college of london;240
the ohio state university, college of public health;92
dartmouth university;196
washington university - st. louis (washu);129
nc state university (ncsu);171
southern mississippi;326
new york university (nyu) steinhardt;138
cleveland state university;322
university of south carolina at columbia;201
boston university school of theology;72
harvard medical school;34
univeresity of maryland college park;27
northwestern universityy;44
university of kent - england;155
cuny graduate center city university of new york;137
carnegie mellon;1
university of southern california (usc), marshall school of business;23
university of virgina;57
university of virginia;57
rutgers state university - new brunswick;111
drexel;160
medical university of south carolina;23
johns hopkins bloomberg school of public health;68
temple  university;94
carnegie mellon mellon university (cmu);1
cornell university, the johnson school;7
duke divinity school;74
unviersity of california, davis (ucd);49
city university of new york (cuny), graduate center;137
indiana university- bloomington;219
brigham young university;375
university of pennsylvania, the wharton school;21
northwestern university, evanston campus;44
university of urbana champaign;25
university of washington, seatlle;11
wisconsin-madison;55
cmu lti;1
indiana university school of medicine graduate division;219
rockefellerer university;360
washington university in st. louis-george warren brown school;129
univerisyt of chicago;70
harvard graduate school of engineering and applied sciencesvard university;34
washington university, st.louis;129
yale drama;5
seattle pacific university;333
joint cmu-pitts;1
yale school of the art;5
duke university divinity school;74
universty of alberta;203
ohio state university (osu)tate university (osu);92
ohio state;92
duke nicholas school;74
baylor;163
university of minnesota school of public health;62
university of arizona mel and enid zuckerman college of public health;142
university of arizona, tucson;142
university of illinois chicago;42
north carolina chapel-hill;80
university of washington, st. louis;129
unversity of washington, seattle;11
university of pennsylviania;21
london school of economics (lse) school of economics;238
johns hopkins school of public health;68
london school of economics lse;238
university of connecticut, storrs;148
university of delawaree;146
university of wisconsin- madison;55
loyola university of chicago;341
brandeis heller;136
university of illinois at chicago;42
hunter college, city university of new york;137
george washington university school of public health and health services;97
new york institute of technology;138
emory university- goizueta business school;78
tufts, the fletcher school;123
northwestern univ.;44
mcgill urban planning;102
university of chicago, booth school of business;70
university of minnesota minneapolis;62
umass medical school;15
suny at buffalo;183
the university of iowaiowa;113
university of washinton - seattle (foster);11
indiana university,bloomington;219
vermont college of fine arts;267
vanderbilt - peabody;96
teacher college, columbia university;31
university of california, berkeley (ucb), haas;47
u of florida;140
university of texas -austin;19
carnegie mellon (cmu);1
new york university (courant);138
university of arizona, mel and enid zuckerman college of public health;142
princeton universitysity;46
university of pennsylania;21
university wisconsin-milwaukee;277
brain wash graduate school of beverley hills;11
cincinnati conservatory of music;182
york university, toronto, canada;329
university of southern upper california kilraney (usuck);23
boston college lynch school of education;104
university texas - austin;19
university of chicago, gsb;70
washington olin;129
washington university, st louis;129
umd-college park;27
nindiana university bloomington;219
austin;19
stanford graduate school of business;3
chicago booth;70
university of texas - austin - austin;19
university of california, berkeley (ucb)a university;47
university of south carolina arnold school of public health;201
new york university(nyu);138
carnegie mellon university- tepper;1
university of michigan, ross school of business;17
nyu, tisch school of arts;138
washington university in saint louis;129
washington st. louis;129
massachusetts institute of technology/ woods hole oceanographic institution;13
duke university (fuqua);74
university of chicago - booth;70
yale univesity;5
washington university - st. louis olin business school;129
washington st. louis olin business school;129
chicago booth school of business;70
u of oregon;85
tulane university school of public health and tropical medicine;188
texas a&m university school of rural public health;231
duke university (nicholas school of environment);74
university of chicago, booth school of busines;70
the ohio state university, fisher college of business;92
northwestern - kellogg;44
syracuse maxwell school;106
university of califonia, santa barbara (uscb);51
university of california, santa cruz;52
columbia university, school of business;31
harvard gsas;34
columbia university school of social work;31
north caroline state university (ncsu);171
toronto university;64
kelley school of business, indiana university - bloomington;219
university of rochester, simon school of business;98
john hopkins university;68
california state university, los angeles;29
new york university (nyu) york university;138
the catholic university of america;370
u of georgia;172
carnegie mellon university (cmu) heinz;1
university of rochester - simon school of business;98
state university of new york at buffalo;183
university of california, santa barbarba (ucsb);51
carnegie mellon university (heinz);1
university british columbia (ubc);108
university of southern california, annenberg school;23
univerity of maryland, college park;27
university of indiana- bloomington;219
harvard kennedy school of government;34
1											1										1								suny binghamtoncollege;292
anderson school of management - ucla,;29
u of houston;198
university of california riverside;259
university of southern california (usc), roski school;23
arizona;142
pennsylvania state university, harrisburg;76
new york university steinhardt;138
university notre dame;132
northwestern university, medill;44
harvard school of public health;34
northwestern, medill;44
university of california (berkeley);47
smeal college of business, pennsylvania state university;76
vanderbilt divinity school;96
indiana university purdue university indianapolis (iupui);221
tamarind institute - university of new mexico;222
colorado state;195
american;197
university of california san diego, ucsd;40
university of virginia - curry school of education;57
carnegie mellon university, tepper business school;1
tepper cmu;1
university of iowa, tippie business school;113
john hopkins school of medicine;68
penn state u;76
washington university (st. louis);129
university of california los angeles;29
university of minnesota-twin cities;62
univesrity of maryland, college park;27
university of california,berkeley;47
university of arizona tuscan;142
university of madison at wisconsin;55
nwu kellogg school;44
purdue - west lafayettee - west lafayette;36
university of rochester, simon;98
spea, indiana university - bloomington;219
johns hopkins bloomberg school of public health jhu;68
university of illinois - chicago;42
boston university school of medicine;72
michigan state university (msu);117
university of michig;17
university of colorado - boulder;83
columbia gsb;31
georgetown university, sfs university;119
university of california--santa cruz;52
umd;27
university of californica santa barbara;51
university of indiana bloomington;219
university of califonia, santa barbara (ucsb);51
the university of connecticut;148
univ. of virginia;57
university of wisconsin in madison;55
bowling green university;187
emory u;78
new york university sackler institute;138
university of texas-austin;19
epfl;168
delaware;146
university of oregon- eugene;85
adelphi universitythell;227
james madison university;263
univerity of toronto;64
university of miami, miller school of medicine;218
polytechnic institute of nyu;138
wisconsin madison;55
university of michigan, ann harbor;17
university of pennsylvania/school of design - university of pennsylvania;21
columbia graduate school of business;31
louisiana state university at baton rouge;268
syracuse university (maxwell school);106
university of oregon - eugene;85
columbia university-sipa;31
yale som;5
university of colorado denver;192
university of maryland (umd);27
indiana university--bloomington;219
washington university @ st. louis;129
berkeley haas business;47
university of pittsburgh (upitt);66
ufl;140
new york studio school;138
universty of virginia;57
university of minnesota twin cities;62
usc, sppd;23
san diego state university (sdsu);281
u of wisconsin-madisonn-madison;55
teachers college columbia university;31
suny, buffalo;183
university of pennslyvinia;21
u florida;140
purdue university - west lafayettey purdue university indianapolis (iupui);221
rutgers bloustein;111
north carolina state university (ncsu)arol;171
syracuse university maxwell/newhouse;106
cuny brooklyn;137
university of british columbia (ubc)h;108
umd, college park;27
university of california - santa cruz;52
university of rhode island - kingston;349
eastern washington university;212
university of california - riverside;259
university of cali santa cruz;52
wake forest;293
university of maryland,college park;27
pittsburghburgh;66
loyola university chicago`;341
the university of south carolina;201
university of ottawa;250
university of illinois-chicago (uic);42
oise at university of toronto;64
miami university of ohio;217
university of wisconsin milwaukee;277
university of colorado at denver;192
u british columbia;108
university of northern iowa;116
university california davis;49
university of washington st. louis;129
towson university;194
university of massachusetts, amherst (umass) amherst;15
university california santa cruz;52
suny new paltz;327
university of california riverside (ucr);259
u of washington (seattle);11
rutgers - new brunswick;111
syracuse university newhouse;106
the graduate center - city university of new york;137
university of pennsylvania (penn gse);21
gsb - university of chicagohicago;70
university of pennsylvania, fels;21
university of california, los angeles (ucla) llschool of public affairs;29
johns hopkins university school of medicine;68
university of california - santa barbara;51
sciences po paris;242
washington university (st. louis)iversity;129
upenn fels;21
university of colorado boulder;83
western carolina university;352
teachers college - columbia university;31
vanderbilt brain institute;96
university of southern california (usc) tin;23
the johns hopkins university (jhu);68
university of british columbia(ubc);108
princeton woodrow wilson;46
university of michigan ford school;17
university of california-berkeley;47
princeton woodrow wilson school;46
princeton university, woodrow wilson school;46
princeton university- woodrow wilson school;46
u iowa;113
stanford univerity;3
western washington university;213
university of pennsylvania fels;21
university of michigan, ford school;17
university of california los angeles (ucla) anderson school fo management;29
university of buffalo;183
university of kentucky patterson school of diplomacy and international commerce;124
mit-whoi;13
johns hopkins universityopp;68
florida state university (fsu);145
university of california, berkeley (ucb) gspp;47
princeton university  (woodrow wilson school);46
new york university (nyu) tisch;138
the university of virginiainia;57
university of colorado- boulder;83
universiyt of colorado boulder;83
harvard kennedy school of government (ksg);34
new york university (wagner);138
university of manitoba;365
columbia university  - teachers college;31
clark idce;298
princeton university (woodrow wilson school);46
harvard school of arts and sciences;34
concordia;296
brown university/ trinity rep;61
princeton university school of architecture;46
university of texas southwestern medical center;23
ilr, cornell;7
washington university (wustl);129
university of california, los angeles (ucla) - school of public affairs;29
columbia, sipa;31
university of north carolina- greensboro;354
vanderbilt peabody;96
university of california, santa barbara (ucsb) - bren school;51
cincinnati college-conservatory of music;182
ryerson university;245
columbia university - teachers college;31
university of california, los angeles (ucla) -  school of management;29
tufts university the fletcher school;123
u chicago divinity;70
tufts fletcher school;123
appalachian state university;314
yale divinity schoolinity school;5
columbia university mailman school of public health;31
columbia gsascolumbia;31
university of pittsburgh gspia;66
tufts university, the fletcher school;123
city university of new york;137
georgia tech / emroy;9
university of denver - iliff;190
tuft;123
tufts university:  the fletcher school;123
brown univeraity;61
university of maryland - college park of business;27
umass, amherst;15
university of louisiana, lafayette;274
emoryniversity;78
universtiy of michgan, ann arbor;17
rutgers new brunswick;111
kent state;156
virginia tech (blacksburg);121
henery jackson school of international studies, university of washington;11
princeton school of architecture;46
balsillie school of international affairs (waterloo);131
columbia school of journalism;31
umass-amherst;15
columbia university journalism school;31
nyu sackler;138
school of information science, university of pittsburgh;66
new york university (nyu)-sackler;138
university of chicago harris school;70
kellogg, northwestern;44
indiana university - bloomingtona;219
university of california irvine (uci);53
tufts fletcher school of law and diplomacy;123
university of chicago-harris school;70
rhode island school of design (risd)e island school of design (risd);350
cuny lehman;137
univercity of chicago;70
university of michigan school of public health;17
ryerson;245
niversity of arizona;142
university of chicago, harris school;70
boston university (bu);72
george washington university - elliott school of international affairs;97
george washinton university elliot school of international affairs;97
university of california, berkeley (ucb) - haas;47
sipa - columbia university;31
university of california at san diego (ucsd);40
university of pittsburgh gspiacience, university of pittsburgh;66
university of california at san francisco;247
gsd harvard;34
university of south carolina-columbiacarolina;201
george washington  university;97
columbia (sipa);31
harvard university - school of engineering and applied sciences (seas);34
johns hopkins university - sais;68
university of illinois urbana champ;25
university of kent brussles;155
chicago university (harris);70
university of michigan--ann arbor - ann arbor;17
southwestern idaho state university;374
walsh school, georgetown;119
university of louisiana lafayette;274
